scraped_at,url,sector,commodity,Title,author,date,body,summary,tag
2026-02-17T15:15:25.392399,https://www.producer.com/daily/u-s-grains-soy-futures-pull-back-as-brazil-harvest-advances/,Oil Seeds,Soybeans,U.S. grains: Soy futures pull back as Brazil harvest advances,Julie Ingwersen,"Published: February 9, 2026","Chicago | Reuters – U.S. soybean futures fell on Monday on profit taking after a rally last week drove prices to a two-month high well above $11 a bushel, tied to U.S. President Donald Trump’s remarks that China may buy more beans from the United States. The expanding harvest of a record-large Brazilian soybean crop added to bearish sentiment, analysts said. Chicago Board of Trade March soybean futures SH26 settled down 4-1/2 cents at $11.10-3/4 per bushel, retreating from Friday’s high of $11.37-3/4, the contract’s highest level since early December. ADVERTISEMENT Read Also Spain detects first swine fever cases outside initial Barcelona outbreak zone Two African swine fever cases have been detected in Spain among wild boar for the first time outside an original outbreak area near Barcelona, prompting additional restrictions on the movement of people and livestock, regional authorities in Catalonia said on Friday. But CBOT soyoil futures bucked the lower trend, rising more than two per cent after the U.S. and India released an interim framework for a trade deal that could lower barriers to Indian imports of U.S. soyoil. Corn and wheat futures drifted lower amid a lack of supportive news. CBOT March corn CH26 ended down 1-1/2 cents at $4.28-3/4 a bushel and March wheat WH26 finished down 1 cent at $5.28-3/4 a bushel. Last week’s surge in soybean futures, tied to hopes for fresh purchases by China, unleashed a wave of cash soybean sales by U.S. farmers that helped knock futures off their highs by Friday. Soybeans had risen last week after Trump said China was considering raising U.S. soybean purchases to 20 million metric tons for the current season. But dealers remain skeptical as higher prices make it uneconomical for China to purchase U.S. beans. The focus by Monday appeared to shift back to Brazil, the world’s top soy supplier, where growers had harvested 16 per cent of the soybean crop as of last Thursday, agribusiness consultancy AgRural said. That was just above the 15 per cent level reported a year earlier. “A lot of this has to do with the Brazilian harvest getting into full tilt,” said Tom Fritz, a partner with Chicago-based EFG Group. Ahead of the U.S. Department of Agriculture’s monthly world supply-demand report on Tuesday, analysts surveyed by Reuters on average expected the agency to raise its estimate of Brazil’s soybean harvest to 179.4 million metric tons, from its previous forecast of 178 million, already an all-time high. Brazilian crop supply agency Conab is scheduled to release its own production estimates on Thursday. ADVERTISEMENT Traders shrugged off news from the USDA on Monday confirming private sales of 264,000 metric tons of U.S. soybeans to China. “U.S.-China soybean trade appears to be running out of steam with that growing supply pressure out of South America ever-present,” said Sean Hickey, an analyst at Bendigo Bank Agribusiness. -Additional reporting by Ella Cao and Lewis Jackson in Beijing and Michael Hogan in Hamburg ",N/A,"Markets,reuters"
2026-02-17T15:16:44.330849,https://www.producer.com/daily/cbot-weekly-little-chance-of-february-rally-in-corn-soybeans/,Oil Seeds,Soybeans,CBOT weekly: Little chance of February rally in corn/soybeans,Phil Franz-Warkentin,Published: 6 days ago,"Glacier FarmMedia — Updated supply demand estimates from the United States Department of Agriculture, released Feb. 10, included only minor adjustments and provided little direction for the corn and soybean markets headed through the slow February trading period. “February isn’t really known for rallies in the grain markets,” said analyst Sean Lusk of Walsh Trading in Chicago, adding that “there’s not much going on.” He expected the markets may hold rangebound in the short-term. Corn In its February report the USDA raised its call for U.S. corn exports in 2025/26 by 100 million bushels from January to 3.3 billion bushels, and lowered its carryout forecast by the same amount. ADVERTISEMENT Read Also Feed Grain Weekly: Corn affecting barley prices in Lethbridge Corn imports entering Lethbridge have lowered prices for feed barley compared to those in Edmonton. While the record-large export demand was a supportive price influence, “there’s just too much corn out there right now,” said Lusk. He added that there are still questions over the size of the 2025 corn harvest after the USDA’s surprising upward revisions to harvested area and yields in January. Soybeans The USDA left its domestic numbers unchanged from January in the February report, despite recent talk from the White House that China would increase its purchases of U.S. soybeans this year to 20 million tonnes. ADVERTISEMENT While increased Chinese purchases of U.S. soybeans should be supportive, “there’s a bumper crop coming out of Brazil,” said Lusk. If China is buying more U.S. soybeans, the Brazilian beans will just move elsewhere in the world resulting in a “zero sum game,” he added. The USDA will hold its annual Agricultural Outlook Forum Feb. 19-20, with the event providing the agency’s first look at 2026 acreage ideas. Given the current price relationship between soybeans and corn, Lusk expected to see increased soybean planting intentions and a reduction in corn on the year. ",N/A,Markets
2026-02-17T15:22:39.600695,https://www.producer.com/daily/manitoba-farmers-focused-on-harvesting/,Oil Seeds,Sunflowers,Manitoba farmers focused on harvesting,N/A,"Published: September 10, 2025","Glacier FarmMedia | MarketsFarm — Combining in Manitoba advanced 11 points during the week ended Sept. 9, which brought the harvest to 40 per cent complete provincewide, Manitoba Agriculture reported. Rain delayed harvest progress throughout much of Manitoba, with Kane in the central region receiving the most at nearly 78 millimetres, while Poplarfield in the Interlake got four. Harvest progress The weekly provincial crop report said combining of winter wheat and fall rye is 100 per cent complete. The winter wheat yielded 50 to 80 bushels per acre and the fall rye ranged from 60 to 100. ADVERTISEMENT Read Also Feed Grain Weekly: Corn affecting barley prices in Lethbridge Corn imports entering Lethbridge have lowered prices for feed barley compared to those in Edmonton. Of the other reported crops being combined around the province: • Field peas 99 per cent done, yielding 30 to 75 bu./ac. • Spring wheat 79 per cent harvested, yielding 50 to more than 60 bu./ac. • Barley 77 per cent finished, yielding 60 to 70 bu./ac. • Oats 63 per cent complete, yielding 100 to 150 bu./ac. • Canola 18 per cent finished, yielding 30 to 60 bu./ac. Of those Manitoba crops yet to see their harvests get underway, the corn was in the R5 (dent) stage, flax reached the brown capsule stage, and the majority of sunflowers have finished flowering. Also, the dry beans are in the R8 to R9 growth stages and most soybeans are at R6 to R7. ADVERTISEMENT Manitoba Ag reported spring wheat conditions have remained very firm at 80 to 90 per cent good to excellent, with fair ratings holding at 10 to 20 per cent. Forages, pastures With the recent frosts , producers are cautioned to watch for elevated levels of nitrates in greenfeed, crop silage still standing or in cereal regrowth. Rainy cool weather slowed regrowth on pastures and hay lands with the frost delaying it even more. Cattle producers continued to make their way through their second cut of hay, with poor yields. Dairy producers were working on their third cut, with yields better than their second cut. Pastures across Manitoba are reported to be in good shape with cattle remaining on them. However, rivers and dugout water levels are quite low. ",N/A,"Canola,cereals,Crop Management,Markets"
2026-02-17T15:23:21.984761,https://www.producer.com/daily/manitoba-crop-report-harvest-nearly-one-third-complete/,Oil Seeds,Sunflowers,Manitoba Crop Report: Harvest nearly one-third complete,Adam Peleshaty,"Published: September 4, 2025","Glacier FarmMedia – Varied weather across Manitoba allowed progress to be made on the province’s harvest during the week ended Sept. 1. Combining reached 29 per cent completion, the province’s weekly crop report said. The winter wheat and fall rye harvests were 99 per cent complete, while field peas were at 95 per cent. Barley and spring wheat were at 65 and 59 per cent, respectively, while oats were at 41 per cent. Canola was 10 per cent combined. The most rainfall was recorded at Kane in the central region at 60.3 millimetres, with Dominion City in the east and Newdale in the southwest receiving 31.2 and 30.9 mm, respectively. Several areas across Manitoba received no rainfall. ADVERTISEMENT Read Also U.S. forecaster sees signs of La Niña shift towards El Niño conditions in early 2026 There is a 60 per cent chance of a shift in the climate phenomenon known as La Niña towards El Niño in February-April 2026. This pattern, known as ENSO-neutral, likely to persist through the Northern Hemisphere summer, the U.S. Climate Prediction Center said on Thursday. Total precipitation accumulations this season were below 60 per cent compared to the 30-year average in the Interlake and parts of the Northwest and Eastern regions. Parts of the Southwest have accumulated higher than normal precipitation levels since May 1. ADVERTISEMENT Spring wheat conditions ranged from 80 to 90 per cent good to excellent, while producing 50 to 60 bushels per acre. Winter wheat yields ranged from 50 to 80 bu./ac., while fall rye was at 60 to 110 . Barley was at 60 to 70 bu./ac., while oats were at 100 to 150. Most corn was in the R5 (dent) stage of growth. Canola yields were from 45 to 60 bu./ac. as swathing and desiccation were ongoing. Flax was in the brown capsule stage and most sunflowers have completed flowering. Avian Control, a bird repellent, received emergency registration in sunflowers to reduce damage by blackbirds. However, the treatment, which can be applied up to the day of harvest, can cause damage such as leaf discolouration. ADVERTISEMENT Field pea yields ranged from 30 to 75 bu./ac., averaging approximately 60 bu./ac. Dry beans were in the R7 and R8 stages, while most soybeans were in the R5 and R6 stages. Warm weather and improved moisture conditions in some areas allowed pastures to regrow, providing extra grazing days for livestock. Second cut harvest yields for beef producers were below-average and dairies were on their third cut, which were seeing higher yields than the second cut. Slough hay and straw yields appeared to be average. Silage corn harvest is set to begin in two weeks as most corn were in the dent stage. Cattle on pasture were in good condition while producers monitor for foot rot, fly pressure and pneumonia. Water levels were mixed, causing some producers to move cattle or haul water. Winter feed supplies were also mixed with some producers sourcing additional feed and others with a surplus selling their own. ","Fall rye, winter wheat near completion","Crop Management,Weather"
2026-02-17T15:29:16.128630,https://www.producer.com/crops/canadian-western-agribition-signs-deal-with-new-bedding-supplier/,Oil Seeds,Flax,Canadian Western Agribition signs deal with new bedding supplier,Karen Briere,"Published: December 4, 2025","REGINA — For the next five years, animals at Canadian Western Agribition will be bedding down on homegrown flax fibre rather than softwood shavings. The show and Prairie Clean Enterprises announced the deal as the 2025 show wound down last month. Follow all our coverage of Agribition here ADVERTISEMENT Read Also Deere expands spot spray for small grains crops John Deere says it has expanded the See and Spray system’s functionality to other crops. For the 2027 model year machines, it will be compatible with wheat, barley and canola. PCE is a Regina-based company that has just commissioned its flax straw processing facility in Weyburn, Sask. Mark Cooper, president and chief executive officer, said this will require a “tremendous” amount of bedding. “We will be working with Agribition and with the exhibitors to work through the specific needs of each animal breed and what’s necessary for each exhibitor, but we’re going to have it available,” he said. Why it Matters: Flax straw is often seen as waste and burned, rather than turned into a useful product. Cooper said Agribition will showcase a Saskatchewan-made product, the first of its kind in the world. The company in 2024 developed a patent-pending decortication process that removes the fibre from the shive more efficiently, it said. The process is faster and uses less energy. PCE has four product lines: Flax fibre for sustainable pulp, paper, packaging and biomaterials. Biomass and pellets for low-carbon heat and power sources. Premium cat litter;. Low-dust animal bedding. Cooper said offering a product that produces less dust means healthier animals and people. “It absorbs the ammonia so the barns smell better than with any other product you’d find,” he said. PCE is located in the former distillery and ethanol plant just outside Weyburn. Cooper said they were able to install their equipment and ready the building within six months. “We have customers ready and waiting both in Europe and in North America for both the pellets and the fibre,” he said. At Agribition, farmers were able to see the products and compare them to wood shavings, and Cooper said more and more are interested in selling straw. ADVERTISEMENT He added he believes the time is right for a flax plant. Saskatchewan has seen several ventures come and go over the years. “The world has changed so tremendously in the last decade,” he said. “We hear all the time about how Saskatchewan has what the world needs, right? Food, fuel and fertilizer. There’s another F to add to that, and that’s fibre, and that’s flax fibre specifically.” ",N/A,"Crop Management,Livestock Management,News"
2026-02-17T15:32:07.627623,https://www.producer.com/news/flaxs-heat-intolerance-targeted/,Oil Seeds,Flax,Flax’s heat intolerance targeted,Robert Arnason,"Published: December 15, 2025","WINNIPEG — Like most crops, flax yields were good to very good on the Prairies in 2025. The average yield in Saskatchewan was about 27 bushels per acre, much higher than the 10 year average of 22 bu. There isn’t one reason for yields in the high 20s and 30s this year, but it’s a safe bet that the cool summer played a role. In Saskatoon, only one day in July had a daytime high that exceeded 30 C. ADVERTISEMENT Read Also Deere expands spot spray for small grains crops John Deere says it has expanded the See and Spray system’s functionality to other crops. For the 2027 model year machines, it will be compatible with wheat, barley and canola. In previous years, with hotter summers, researchers from the University of Saskatchewan learned that flax doesn’t tolerate 33 C temperatures during flowering. Bunyamin Tar’an, a flax and chickpea breeder from the University of Saskatchewan, found this out when he grew flax under irrigation at the university. Even when sufficient water was available, flax plants could not withstand the summertime heat. “When the temperature hits 30 to 32 degrees during flowering… there was no shortage of moisture… but the yield drops,” he said. “When I looked at the bolls of flax, there (were) no seeds. This is the effect of the heat stress. A lot of seeds are aborted inside the bolls.” Tar’an has been the flax breeder at the U of S since 2021, so he hasn’t had a lot of time to improve the heat tolerance and yield potential of new flax varieties. The data clearly shows that flax yields have been “stagnant” for the last couple of decades, Tar’an said. ADVERTISEMENT Using Statistics Canada data: Average flax yields were slightly more than 20 bu. in 2005-10. Fifteen to 20 years later, yields had crept up to 23-25 bu. per acre. Over the last 30 years, the yield gain in flax is only 9.6 pounds per acre per year, Tar’an said. That sounds worse when compared to canola, which has gained 52 lb. per acre per year. To push flax higher, Tar’an and his colleagues are screening existing flax varieties and a broad germplasm, seeking genes and traits that could improve the oilseed’s heat tolerance. It’s part of a four year project, supported by the Saskatchewan Agriculture Development Fund, the Manitoba Crop Alliance and SaskOilseeds. ADVERTISEMENT So far in the project, there is good news and bad. The good is that some flax materials, including wild varieties, are more tolerant of high temperatures, Tar’an said. The bad? Commercial flax varieties in Canada are sensitive to high temperatures in the summer. It will take years for Tar’an to identify and understand the processes within flax that provide protection against 32 C days and warm nights during the bloom period. Then, he will integrate that improved tolerance into a flax variety that has high quality oil in the seed and other desirable traits. This process would be faster if Tar’an had more help. ADVERTISEMENT At one point, Canada had three breeding programs for flax. Now, the Crop Development Centre at the U of S is the only flax program in the country. ",U of S breeder hopes to improve heat tolerance to unlock crop’s yield gain,"Crop Management,News"
2026-02-17T15:34:48.515293,https://www.producer.com/news/flax-sector-sees-omega-3-opportunity/,Oil Seeds,Flax,N/A,N/A,N/A,N/A,N/A,N/A
2026-02-17T15:37:58.425940,https://www.producer.com/daily/a-good-year-for-flax-could-lead-to-more-acres-in-2026-27/,Oil Seeds,Flax,A good year for flax could lead to more acres in 2026/27,N/A,"Published: January 16, 2026","Glacier FarmMedia — Strong flaxseed prices should encourage more planted acres to the crop this spring, but any increases in area will also depend on the price relationship canola. Cash prices for flax across Western Canada ranged from C$13.91 to C$16.48 per bushel delivered as of Jan. 15, reported Prairie Ag Hotwire. That compares with canola bids of C$13.65 to C$14.01/bu. Trade deal could boost new crop prices The recent Canada/China trade deal that reduces China’s tariffs on their imports of Canadian canola is unlikely to have any effect on old crop flax prices, said Scott Shiels grain procurement manager for Grain Millers Canada in Yorkton, Sask. ADVERTISEMENT Read Also Canadian agriculture must be seen as growth sector: Blois Agriculture must be pushed as a sector of expansion and investment opportunity in Canada said Kody Blois ahead of the Future of Food conference in Ottawa on Feb. 9. However, Shield said “it could affect flax pricing for next year.” Flax plantings With Prairie farmers making their plans for spring seeding, Shiels said it’s likely flax acres will increase in 2026/27. In 2025/26, more than 620,000 acres of flax went into the ground, up from about 504,000 in 2024/25, according to Agriculture and Agri-Food Canada . That produced 454,000 tonnes of flax this fall compared to 258,000 the previous year due in part to a stronger yield. Farmers need premium ADVERTISEMENT However, Shiels cautioned that any increase in canola prices don’t necessarily guarantee higher prices for flax. “If canola rallies to $16/bu. then $16 flax isn’t good anymore,” he said. “We tend to want to see a couple of bucks per bushel premium compared to the canola market to get that flax into the ground.” Shiels said Canada needs to grow more flax as to cut down on the amount imported. AAFC estimated 8,000 tonnes were brought in during 2024/25 and that increased to 10,000 tonnes in 2025/26. “I’d rather see our Prairie farmers reaping the benefits from that,” he said. ",N/A,"Markets,News"
2026-02-17T15:40:47.799627,https://www.producer.com/crops/seed-treatment-targets-flax-stands/,Oil Seeds,Flax,Seed treatment targets flax stands,Miranda Leybourne,"Published: September 30, 2025","Glacier FarmMedia – Researchers at Manitoba’s crop diversification centres are completing a study on flax seed treatments, investigating whether the products can improve crop emergence and plant stands. A project at the Manitoba Crop Diversification Centre (MCDC) in Carberry is testing two seed treatment options at different rates on yellow and brown flax varieties, focusing on helping crops establish strong stands rather than controlling specific diseases. “I’m more concerned about the benefits of a seed treatment for getting the profit of the ground, having a little bit of strength so that can grow to have a strong plant,” Morgan Cott, agronomy extension specialist for special crops with Manitoba Crop Alliance , said at an MCDC field day earlier this summer. ADVERTISEMENT Read Also Deere expands spot spray for small grains crops John Deere says it has expanded the See and Spray system’s functionality to other crops. For the 2027 model year machines, it will be compatible with wheat, barley and canola. The stidu addresses a gap identified by producers who questioned why little flax seed treatment research was being conducted in Manitoba. The study examines not just emergence and disease control but also the “treatability” of flax seed itself, Cott said. Farmers don’t typically like to treat flax because they feel like it runs right off due to the seed’s shiny, waxy coating, which makes it difficult for treatments to adhere properly, Cott said. The trial is testing seed treatments targeting three main seedling diseases that affect flax: fusarium, rhizoctonia and pythium. These diseases affect flax, as they do most crops, making prevention through seed treatments or other management practices important, Cott said. Fusarium, while present in Manitoba soil and affecting cereals, oilseeds and pulses, tends to be a weaker root rot in flax compared to other crops. However, it can cause fusarium wilt later in the plant’s development rather than just root rotting issues in seedlings. “It’ll affect the plant at any age. So, when we’re scouting for it in seedlings, we’re going to be pulling up those flax plants and finding like an ashy gray root colour,” Cott said, adding that in more mature plants, the tip turns yellow and the condition moves down the plant. Rhizoctonia represents a bigger concern, particularly given its prevalence in pulse crops. The disease can affect plants before, during and after emergence, causing lesions at or below the soil surface that can kill smaller plants, but which larger plants may grow out of as they become stronger, Cott said. She said pythium thrives in wet conditions and saturated, cool soil conditions. Unlike some diseases, it doesn’t need a wound to infect the plant and causes browning and discoloration of roots along with stunted plant growth. ADVERTISEMENT The research is using either Insure Pulse or Vitaflo products at high and low application rates on two varieties: AAC Bright, a yellow-seeded variety, and CDC Rowland, a brown-seeded variety. Cott has noticed visible differences between treated and untreated plots in her research. In one comparison, untreated AAC Bright was still flowering while treated plants in the adjacent plot had progressed further in development, suggesting the treatment may have prevented delayed emergence rather than necessarily controlling disease. “My takeaway is not that there was necessarily disease here. There could have been, but it was probably delayed and emerging a little bit. Not that I’m trying to sell seed treatment, but it did work,” Cott said. CDC Rowland appeared to be a stronger plant compared to AAC Bright in the trials, she added. Beyond disease control and emergence benefits, the research examines how well seed treatment products adhere to and flow with flax seed during planting operations. The seed’s waxy coating creates challenges for both treatment application and seed flow through planting equipment. For producers who do choose to treat flax seed, best practices have been developed to improve results, Cott said. “A seed treater would typically encourage a farmer to treat it and then leave it for a few days to let it really not solidify, but get firm on the seed and then flowability is better.” ADVERTISEMENT The recommended practice involves treating the seed and then letting it sit for about a week before planting to improve flow characteristics and reduce bridging issues with the small seeds, Cott added. The research is being conducted at all four diversification centres in Manitoba, providing 12 site-years of data when the study concludes this year. However, Cott doesn’t expect to see major disease control or yield boost benefits from the treatments. “I typically don’t think you’re going to be seeing too much for disease control or yield boost. It’s more, as I say, about getting the crop out of the ground,” she said. ",Researchers are investigating whether seed treatment products can improve crop emergence and plant stands,Crop Management
2026-02-17T15:49:03.812442,https://www.producer.com/daily/u-s-grains-soybeans-rise-on-export-optimism-corn-wheat-nearly-flat/,Cereals,Wheat,"U.S. grains: Soybeans rise on export optimism; corn, wheat nearly flat",Julie Ingwersen,"Published: February 10, 2026","Chicago | Reuters – Chicago soybean futures rose about one per cent on Tuesday on optimism about demand for U.S. supplies, analysts said, but stayed below a two-month high set last week. Corn settled flat to firmer after the U.S. Department of Agriculture in a monthly report raised its forecast of U.S. corn exports for the current marketing year, while wheat futures ended fractionally lower. Chicago Board of Trade March soybean futures SH26 settled up 11-3/4 cents at $11.22-1/2 per bushel. The contract had reached $11.37-3/4 last week, its highest level in two months. ADVERTISEMENT Read Also Spain detects first swine fever cases outside initial Barcelona outbreak zone Two African swine fever cases have been detected in Spain among wild boar for the first time outside an original outbreak area near Barcelona, prompting additional restrictions on the movement of people and livestock, regional authorities in Catalonia said on Friday. CBOT March corn CH26 ended unchanged at $4.28-3/4 a bushel while May corn CK26 closed up 1/4 cent at $4.37-1/4. CBOT March wheat WH26 finished down 1/2 cent at $5.28-1/4 a bushel. Soybeans rose despite bearish data in the USDA’s monthly supply-demand report. The agency raised its estimate of soybean production in Brazil, the world’s top supplier of the oilseed, to 180 million metric tons, up from its previous estimate of 178 million and above an average of analyst estimates for 179.39 million. The USDA left its forecast of U.S. soybean stocks remaining at the end of the current marketing year unchanged at 350 million bushels. Some brokers remain optimistic that U.S. soybean exports will increase, potentially tightening end-year inventories, in light of U.S. President Donald Trump’s remark last week that China had increased its target for U.S. soybean purchases under a trade truce. “China is reported to be considering buying more U.S. soybeans,” the USDA said in the text of its report. “They (traders) believe that the ending stocks are going to come down, from the administration trying to be pro-demand from China,” said Don Roose, president of Iowa-based U.S. Commodities. Meanwhile, CBOT soyoil futures hit contract highs across the board, buoyed this week by optimism about demand from the biofuels sector as well as a U.S.-India trade pact that could spur export business. Corn and wheat futures sputtered, anchored by abundant global supplies. The USDA raised its forecast for U.S. 2025/26 wheat ending stocks, bucking trade expectations for a cut. The government attributed the higher wheat stocks forecast to a reduction in demand from domestic flour millers. ADVERTISEMENT For corn, the USDA raised its estimate of U.S. 2025/26 exports by 100 million bushels and cut its forecast of corn ending stocks by the same amount. In Western Europe, France’s agriculture ministry raised its 2026 sowing estimate for the country’s main wheat crop slightly, confirming its expectation of an expanded area compared with last year. -Additional reporting by Ella Cao and Lewis Jackson in Beijing and Gus Trompiz in Paris ",N/A,"Markets,reuters"
2026-02-17T15:49:31.068507,https://www.producer.com/daily/u-s-grains-soybeans-turn-higher-as-traders-weigh-china-demand-wheat-climbs/,Cereals,Wheat,U.S. grains: Soybeans turn higher as traders weigh China demand; wheat climbs,Julie Ingwersen,Published: 6 days ago,"Chicago | Reuters – Chicago soybean futures turned higher on Wednesday on technical buying and continued hopes of stronger Chinese demand, analysts said, with the benchmark contract heading back toward a two-month peak set last week. Wheat rose on what appeared to be fund-driven short-covering, while corn futures sagged in choppy trade. Chicago Board of Trade March soybean futures closed up 1-1/2 cents at $11.24 per bushel after reaching $11.28-1/4, the contract’s highest since February 6. ADVERTISEMENT Read Also Spain detects first swine fever cases outside initial Barcelona outbreak zone Two African swine fever cases have been detected in Spain among wild boar for the first time outside an original outbreak area near Barcelona, prompting additional restrictions on the movement of people and livestock, regional authorities in Catalonia said on Friday. CBOT March wheat gained nine cents to close at $5.37-1/4 a bushel while March corn settled down 1-1/4 cent at $4.27-1/2 a bushel. Soybeans rallied as traders gauged the likelihood of top global soy buyer China booking more U.S. soybeans. U.S. President Donald Trump said last week that China had increased its target for U.S. soybean purchases, and the U.S. Department of Agriculture in a monthly world crop report on Tuesday said, “China is reported to be considering buying more U.S. soybeans.” Brazil, the world’s biggest soy producer and exporter, has begun harvesting a record-large soybean crop that is expected to dominate the global export market in the coming months. But the prospect of China buying additional U.S. soy cargoes under a trade truce has buoyed the futures market. “The big unknown with China continues to be the big factor. We are finding that futures are just not able to set back very much in this environment,” said Terry Linn, analyst with Linn & Associates in Chicago. Wheat climbed despite a lack of news. Commodity funds hold a hefty net short position in CBOT wheat futures, leaving the market vulnerable to bouts of short-covering. Corn futures drifted lower, losing to soybeans and wheat on inter-market spreads. The market shrugged off confirmation from the USDA of private sales of 230,560 metric tons of U.S. corn to unknown destinations. ADVERTISEMENT -Additional reporting by Daphne Zhang and Lewis Jackson in Beijing, and Gus Trompiz in Paris ",N/A,"Markets,reuters"
2026-02-17T15:51:23.720151,https://www.producer.com/daily/only-small-adjustments-in-latest-usda-supply-demand-estimates/,Cereals,Wheat,Only small adjustments in latest USDA supply/demand estimates,Phil Franz-Warkentin,"Published: February 10, 2026","Glacier FarmMedia — Corn ending stocks in the United States for 2025/26 will be slightly tighter than earlier expectations, but still record-large, according to updated supply/demand tables from the U.S. Department of Agriculture released Feb. 10. The U.S. soybean balance sheet was left unchanged on the month, while Brazilian production of the crop was revised higher. Why it matters: The USDA data influences global agricultural futures markets, which spills into Canadian cash prices. ADVERTISEMENT Read Also Feed Grain Weekly: Corn affecting barley prices in Lethbridge Corn imports entering Lethbridge have lowered prices for feed barley compared to those in Edmonton. Corn • Projected U.S. corn ending stocks for 2025/26 were lowered to 2.127 billion bushels from 2.227 billion bushels in January. That below average trade estimates calling for an unchanged reading on the month but well above the 1.551-billion-bushel corn carryout from 2024/25. • Anticipated U.S. corn exports were raised to a record 3.3 billion bushels from 3.2 billion bushels the previous month. • The global corn carryout for 2025/26 was estimated at 288.98 million tonnes, which was down from 290.91 million in January and below average trade guesses. Soybeans • U.S. soybean ending stocks for 2025/26 were left unchanged at 350 million bushels, which was in line with trade estimates. ADVERTISEMENT • U.S. soybean exports were left unchanged, with the accompanying commentary noting that “China is reported to be considering buying more U.S. soybeans.” • Projected world soybean ending stocks for 2025/26 were up by 1.1 million tonnes from January, at 125.51 million tonnes. Wheat • The anticipated U.S. all-wheat carryout for the current marketing year was raised by five million bushels from January at 931 million bushels. That compares with 855 million in 2024/25. • World wheat ending stocks saw a small adjustment, moving to 277.51 million tonnes from 278.25 in January. South America • Brazil’s 2025/26 soybean production was up by two million tonnes from January, at 180.0 million tonnes. That compares with 171.5 million tonnes in 2024/25. • Brazilian corn production for the year was left unchanged at 131.0 million tonnes. • Soybean and corn production in Argentina were steady at 48.5 million and 53.0 million tonnes respectively. ",N/A,Markets
2026-02-17T15:53:48.165141,https://www.producer.com/daily/prairie-wheat-weekly-spring-wheat-declines-durum-higher/,Cereals,Wheat,"Prairie Wheat Weekly: Spring wheat declines, durum higher",Adam Peleshaty,Published: 6 days ago,"Glacier FarmMedia – Western Canadian wheat bids were mixed during the week ended Feb. 10 despite weaker United States wheat prices and a stronger loonie. The Canadian Grain Commission reported 230,300 tonnes of wheat exports for the week ended Feb. 1, down from 353,300 tonnes the previous week. So far this marketing year, 11.5 million tonnes of wheat were exported, compared to 10.5 million at the same time last year. The U.S. Department of Agriculture released its monthly supply/demand estimates on Feb. 10, with 2025-26 wheat ending stocks raised by five million tonnes at 931 million, exceeding trade expectations. Global carryout was tightened by 740,000 tonnes at 277.51 million, below the trade’s pre-report estimates. ADVERTISEMENT Read Also Feed Grain Weekly: Corn affecting barley prices in Lethbridge Corn imports entering Lethbridge have lowered prices for feed barley compared to those in Edmonton. Canadian Western Red Spring (CWRS) wheat was down C$0.10 to up C$2.40 per tonne, according to price quotes from a cross-section of delivery points compiled by PDQ (Price and Data Quotes). Average prices were between C$249.10/tonne in southeast Saskatchewan to C$279.60 in southern Alberta. Quoted basis levels ranged from between C$40.20 to C$70.80/tonne above the futures when using the grain company methodology of quoting the basis as the difference between the U.S. dollar denominated futures and the Canadian dollar cash bids. ADVERTISEMENT Accounting for exchange rates and adjusting Canadian prices to U.S. dollars (C$1=US$0.7383), CWRS bids were from US$183.90 to US$206.50/tonne. Currency adjusted basis levels ranged from US$2.40 to US$25 below the futures. If the futures were converted to Canadian dollars, basis levels would be C$1.80 to C$18.40 below the futures. Meanwhile, Canadian Prairie Red Spring (CPRS) prices lost C$1.80 to C$2.60 per tonne. The lowest average bid for CPRS was C$224.30 in southeast Saskatchewan, while the highest average bid was C$248.80 in southern Alberta. The average prices for Canadian Western Amber Durum (CWAD) were up C$2.80 to C$3 per tonne with bids between C$278.50 in southwest Saskatchewan to C$289.60 in southern Alberta. The March spring wheat contract in Minneapolis, which most CWRS contracts are based off of, was quoted at US$5.6825 per bushel on Feb. 10, down 0.75 of a cent. The Kansas City hard red winter wheat futures, which are now traded in Chicago, are more closely linked to CPRS in Canada. The March contract declined 4.25 cents at US$5.3050/bu. The March Chicago soft red contract was down 0.5 of a cent at US$5.825/bu. The Canadian dollar moved up 0.58 of a cent to close at 73.83 U.S. cents on Feb. 10. ",N/A,Markets
